"","naics","high","uppermiddle","lowermiddle","low"
"156","423800",0.098,0.25,0.652,0
"157","423820",0.061,0.342,0.594,0
"158","423900",0.08,0.117,0.803,0
"159","424000",0.084,0.088,0.825,0.003
"160","424100",0.09,0.085,0.823,0
"161","424200",0.193,0.108,0.696,0.001
"162","424300",0.093,0.127,0.781,0
"163","424400",0.056,0.073,0.866,0.005
"164","424500",0.063,0.075,0.854,0.008
"165","424600",0.117,0.115,0.767,0
"166","424700",0.078,0.1,0.818,0.003
"167","424800",0.073,0.088,0.835,0.001
"168","424900",0.075,0.083,0.84,0.002
"169","425000",0.121,0.11,0.768,0
"170","44-450",0.06,0.071,0.829,0.039
"171","441000",0.048,0.301,0.651,0
"172","441100",0.057,0.284,0.658,0
"173","441200",0.049,0.322,0.625,0.001
"174","441300",0.028,0.331,0.64,0
"175","445000",0.034,0.012,0.827,0.126
"176","445100",0.036,0.012,0.827,0.126
"177","445200",0.026,0.013,0.756,0.205
"178","445300",0.029,0.01,0.95,0.01
"179","452000",0.041,0.028,0.904,0.025
"180","452100",0.038,0.039,0.894,0.014
"181","452900",0.044,0.011,0.912,0.017
"182","4445R0",0.082,0.056,0.842,0.02
"183","442000",0.033,0.077,0.883,0.006
"184","442100",0.036,0.057,0.9,0.006
"185","442200",0.031,0.095,0.867,0.005
"186","443000",0.049,0.129,0.821,0
"187","444000",0.029,0.057,0.914,0
"188","444100",0.028,0.049,0.923,0
"189","444200",0.036,0.116,0.847,0.001
"190","446000",0.375,0.012,0.6,0.013
"191","446100",0.375,0.012,0.6,0.013
"192","446110",0.473,0.007,0.516,0.003
"193","447000",0.015,0.032,0.869,0.085
"194","448000",0.017,0.016,0.966,0.001
"195","448100",0.014,0.016,0.968,0.001
"196","448200",0.018,0.005,0.974,0
"197","448300",0.033,0.029,0.938,0
"198","451000",0.03,0.062,0.895,0.013
"199","451100",0.028,0.069,0.893,0.006
"200","451110",0.03,0.067,0.884,0.015
"201","451200",0.036,0.019,0.904,0.039
"202","453000",0.034,0.087,0.829,0.05
"203","453100",0.017,0.455,0.527,0.003
"204","453200",0.041,0.043,0.904,0.011
"205","453300",0.024,0.029,0.935,0.007
"206","453900",0.037,0.08,0.762,0.12
"207","454000",0.125,0.148,0.714,0.012
"208","454100",0.161,0.115,0.723,0.002
"209","454200",0.048,0.344,0.484,0.13
"210","454300",0.061,0.176,0.759,0.005
"211","48-490",0.044,0.095,0.855,0.006
"212","481000",0.045,0.13,0.819,0.005
"213","481100",0.044,0.122,0.83,0.005
"214","481200",0.059,0.219,0.701,0.005
"215","482000",0.092,0.259,0.646,0.003
"216","483000",0.088,0.097,0.786,0.028
"217","483100",0.117,0.107,0.751,0.025
"218","483200",0.041,0.085,0.838,0.033
"219","484000",0.033,0.064,0.902,0
"220","484100",0.032,0.063,0.905,0
"221","484200",0.036,0.068,0.896,0
"222","485000",0.024,0.087,0.882,0.007
"223","485100",0.025,0.119,0.854,0
"224","485200",0.025,0.08,0.855,0.02
